RelationshipType,Count
WORKS_ON,13
PART_OF,10
HAS_ROLE,7
RESPONSIBLE_FOR,7
INCLUDES,6
IS_RESPONSIBLE_FOR,6
IS_RELATED_TO,5
HAS_STEP,4
CONTAINS,4
IS_BASED_ON,3
PARTICIPATES_IN,3
REPORTS_TO,3
DEFINES,3
RELATED_TO,3
HAS_PRECEDENCE,3
INITIATE,2
TRACKS_OVER_TIME,2
IS_DIRECTLY_RELATED_TO,2
GAIN,2
CO_PRESENT,2
INVOLVED_IN,2
SERVES,2
FOLLOW,2
CREATES,2
HAS_SCRUM_MASTER,2
IS_COMPOSED_OF,2
PRODUCES_INCREMENT,2
CHANGED_IN_ENVIRONMENT,2
INVOLVES,2
MANAGES,2
HAS_RESP,2
ALIGNS_WITH,2
FACILITATES,2
PREDICATE,1
CO_FOUND,1
DEVELOPED_IN_EARLY_1990,1
EVOLV,1
CO_PRESENTED_WITH,1
CO_FOUNDED_WITH_KEN_SCHWABER,1
SUSTAINED_BY,1
DEVELOP,1
HOLDS_ESSENTIALLY,1
HAS_ITS_ROOTS_IN,1
REALIZED_WITH,1
CROSS_FUNCTIONALITY,1
DESCRIBES_IN_2010,1
DOCUMENT,1
STANDS_BEHIND,1
INCLUDED_IN,1
PLAN,1
HELPED_UNDERSTAND_TRADE_OFFS_BY,1
COMMITMENT,1
APPLIED_TO,1
PRESENT_RESULTS_TO_KEY_STAKEHOLDER,1
PROGRESS_TOWARD_PRODUCT_GOAL,1
EMPHASIZES_IMPORTANCE_OF_TEAM_ADAPTATION_TO_CHANGE,1
HAS_MEMBER,1
IS_SELF_MANAG,1
IS_CROSS_FUNCTIONAL,1
CONSISTS_OF,1
HAS_SIZE,1
HAS_SPRINT,1
HELPING_FOR_ITEM,1
COLLABORATE_ON_NEXT_STEP,1
REVIEW_ACCOMPLISHMENT,1
IS_SUBJECT_TO,1
HAS_STAKEHOLDER,1
DEVISED_FROM,1
FOUND_IN,1
REQUIRE,1
LEADS_DEV_TEAM,1
DEVELOPING_COMMUNICATING_GOAL,1
ROLE,1
DEFINING_PRODUCT_BACKLOG_ITEM,1
LEAD,1
REMOVE_IMPEDIMENTS_TO_PROGRESS,1
SERVED_BY,1
RESPONSIBLE_REFINING_BACKLOG,1
HAS_PRODUCT_BACKLOG,1
SELECT_TO_SPRINT,1
PROPOSE_INCREASE_UTILITY,1
INFLUENCE,1
HAS_SPRINT_GOAL,1
COORDINATES_WITH,1
COLLABORATE_WITH,1
NEGOTIATE_SCOPE_OF,1
DELIVER_USABLE_INCREMENT,1
SUPPORTS_DEV_TEAM,1
CREATING_COMMUNICATING_ITEM,1
ORDERING_PRODUCT_BACKLOG_ITEM,1
ACCT,1
ENSURING_SCRUM_EVENTS_TAKE_PLACE,1
HELP,1
CAUSING_REMOVAL_OF_IMPEDIMENT,1
COACH,1
SUPPORT,1
HOLDS_POSITION,1
PLANNING_AND_ADVISING_SCRUM_IMPLS_WITHIN_THE_ORG,1
LEADING_ORG_ADOPTION,1
REMOVES_IMPEDIMENT,1
HAS_SPRINT_BACKLOG,1
MENTOR,1
ASSIGN,1
DELIVERS,1
IS_SUPPORTED_BY_SCRUM_MASTER,1
IS_LED_BY_PRODUCT_OWNER,1
ENSURING_IS_UNDERSTOOD,1
PRODUCT_GOAL,1
COLLABORATES_WITH,1
ENSURE_TEAM_EFF,1
IMPROVE,1
COMMIT_TO_ACHIEVING_GOAL,1
OPEN_ABOUT_CHALLENGE,1
VALUES_RESPECT,1
HAS_FOCU,1
DEMONSTRATES_COMMITMENT,1
INSTILLING_QUALITY_BY_ADHERING_TO_A_DEF_OF_DONE,1
HOLDING_EACH_OTHER_ACCOUNTABLE_AS_PROFESSIONAL,1
ADAPTING_DAY_GOAL,1
CREATING_A_PLAN_FOR_THE_SPRINT,1
SELECT_ITEMS_FROM_THE_PRODUCT_BACKLOG,1
PRODUCE,1
CONDUCT,1
CONFORM_TO_THE_DEF_OF_DONE,1
FACILITATING_STAKEHOLDER_COLLAB_AS_REQUESTED_OR_NE,1
ENCOUNTER,1
ADOPT,1
SOLVE,1
IMPLEMENT,1
COORDINATE,1
PRIORITIZES,1
MEETS_THE_DEF_OF_DONE,1
MEET,1
MEETS_QUALITY_MEASURES_REQUIRED_FOR_THE_PRODUCT,1
PRECEDED_BY,1
PLANS_WITH_PRODUCT_BACKLOG,1
MUST_BE_FINALIZED_PRIOR_TO_THE_END_OF_SPRINT_PLANN,1
LAY_OUT,1
TIMEBOX,1
LIMIT,1
MAXIMUM,1
UTILIZ,1
IS_CEO,1
ADDRESSE,1
HOST,1
HAS_RELATED_PRODUCT_BACKLOG_ITEM,1
OCCURS_AFTER,1
REVIEWS_INCREMENT,1
HAS_DURATION,1
INSPECT_SPRINT_ADAPTATION,1
IS_PART_OF_THE_AGILE_DEV_PROCESS,1
RETROACTS_WITH_DEV_TEAM,1
IMPROVE_EFF,1
PLAN_WAYS_TO_INCREASE_QUALITY_AND_EFF,1
AFFECT,1
EVALUAT,1
ADAPT_THE_SPRINT_BACKLOG_AS_NECESSARY,1
PLANS_BY,1
PLANNED_FOR,1
REFINE,1
EMPHASIZE,1
SELECT,1
TOWARD,1
CONTRIBUTES_TO,1
EMPLOY,1
TELL,1
ARE_DETERMINED_BY_THE_SPRINT_REVIEW,1
USES,1
FULFILL_BEFORE_TAKING_ON_NEXT,1
PREC,1
HAS_INTEREST_IN,1
HELD_AT,1
