RelationshipType,Count
RELATED_TO,15
RELATES_TO,8
WORKS_ON,7
INVOLVES,6
INCLUDES,6
USES,6
PART_OF,5
IS_RELATED_TO,5
DEFINES,4
FOLLOW,3
DELIVERS,3
INVOLVED_IN,2
RESULTS_IN,2
IS_MEMBER_OF,2
IS_FOUNDER,2
IS_MEMBER,2
HELP,2
UNDERSTAND,2
FACILITATES,2
ACHIEVE,2
ALIGNED_WITH,2
REQUIRE,2
CONTAINS,2
CONTRIBUTES_TO,2
ASSUME,2
HELPS_AN_ORG_BECOME_MORE_EFFECTIVE,1
IS_RESPONSIBLE_FOR,1
TOWARD,1
T2M,1
THROUGH,1
REFUTE_HYPOTHESI,1
SUPPORT_HYPOTHESI,1
ADAPTED_FROM,1
TEST_VALUE_OF_FEATURE,1
DESIGN_EXPERIMENT,1
COMBINES_HYPOTHESES_ADAPTATION,1
PREDICATE,1
UNDER_CONDITIONS_OF,1
TAKE_INTO_ACCOUNT_THE_BEST_AVAILABLE_EVIDENCE,1
ADDS_MAKING_RESULT,1
INCREASE,1
MEASURE,1
IDENTIFY,1
MEETS_NE,1
IMPROVE_CUSTOMER_OUTCOME,1
UNDER_INVESTOR_AND_STAKEHOLDER_HAPPINESS,1
RETAIN,1
HAS_ENGAGED_EMPLOYEE,1
MAXIMIZES_VALUE,1
PREVENTS_FROM_DELIVERING_NEW_VALUE,1
HAS_INNOVATION_CAPACITY,1
ACHIEVE_BUSINESS_RESULT,1
ENHANCE_ORGAL_CAPABILITIE,1
SEEK,1
HAS_SCRUM_MASTER,1
LEADS_DEV_TEAM,1
ENSURES_CUSTOMER_NEEDS_ARE_MET,1
REPRESENT,1
OWN,1
DEFINING_PRODUCT_BACKLOG,1
PRIORITIZING_FEATURE,1
SUPPORTS_DEV_TEAM,1
ASSIGN,1
LED_BY,1
REMOVE_IMPEDIMENT,1
MAINTAIN,1
REMOVING_IMPEDIMENT,1
LEAD,1
IS_SUPPORTED_BY_SCRUM_MASTER,1
IS_LED_BY_PRODUCT_OWNER,1
ENCOUNTER,1
PRODUCE,1
DEVELOPING_AND_TESTING_THE_PRODUCT,1
FORMS_HYPOTHESI,1
RUNS_EXPERIMENT,1
ROLES_AND_RESPONSIBILITIE,1
PROGRESS_TOWARD,1
ANALYZE,1
UPDATE,1
BASED_ON,1
IS_CRUCIAL_FOR_DELIVERING_VALUE,1
HAS_RESP,1
EXPERIENCES_CURRENT_EXPERIENCE,1
HAS_DESIRED_OUTCOME,1
HAS_CURRENT_VALUE,1
EFF,1
IS_RELATED_TO_INNOVATION,1
IS_IMPORTANT,1
SUSTAIN_INNOVATION_OVER_TIME,1
RESPOND_TO_CHANGE,1
MAKE_PROGRESS_TOWARD_LONG_TERM_GOAL,1
TAKES_TIME_TO_DELIVER_VALUE,1
MAXIMIZE_NEW_SOLUTION,1
DELIVER_NEW_CAPABILITIE,1
HAPPINESS_THROUGH_CUSTOMER_VALUE,1
HAPPINESS_OF,1
IS_HAPPY_WITH,1
SATISFACTION_OF,1
IS_SATISFIED_WITH,1
TRACKS_TIME_TO_REMOVE,1
IS_DEPLOYED_TO,1
REDUCES_FEATURE,1
IMPROVES_VALUE,1
MEASURE_HAPPINESS_PRODUCT,1
HAS_SATISFI,1
LEARNING_FROM_EXPERIMENT,1
HAS_MEAN_TIME_TO_REPAIR,1
HAS_CUSTOMER_CYCLE_TIME,1
MAINTAINS_AND_ENHANCE,1
REALIZES_POTENTIAL,1
INCREASE_CV_BY_DECREASING_UV,1
IS_CURRENT_VALUE,1
IS_UNREALIZED_VALUE,1
HAS_HIGH_CV_AND_LOW_UV,1
HAS_LOW_CV_BUT_HIGH_UV,1
HELPS_WHICH_CHANGE,1
IMPROV,1
TESTING_NEW_IDEAS_WITH_CUSTOMER,1
REMOV,1
FOCUS_ON,1
HAS_RELEASE_FREQUENCY,1
MANAGES,1
IDENTIFIES_IMPEDIMENT,1
RECEIVES_FEEDBACK,1
RESPONDS_TO_FEEDBACK,1
ITERATE,1
ACTS_AS_EXPERT_IN,1
DESCRIBE,1
