RelationshipType,Count
INVOLVES,16
RELATED_TO,11
USES,8
WORKS_ON,7
PART_OF,7
DEFINES,5
IMPROVE,5
FACILITATES,4
IS_RESPONSIBLE_FOR,4
INCLUDES,4
TRIGGERS_LEGITIMATE_ANXIETY_FOR,4
BASED_ON,3
INVOLVED_IN,3
HOST,3
IS_RELATED_TO,3
REQUIRE,3
MANAGES,3
COLLABORATES_WITH,3
PARTICIPATES_IN,3
FOLLOW,3
APPLY,2
OVER,2
TRAIN,2
MAKE_LEVERAGING_WAY,2
WITH,2
PRIORITIZES,2
ASSIGN,2
HOLDS_POSITION,2
ADAPT_TO,2
IMPACT_ON,1
ENHANCE_DISRUPT,1
IS_NOT_EQUAL_TO,1
EVALUAT,1
BY_DESIGN,1
WIELD,1
IS_BY_DESIGN,1
EXTRACTS_FROM,1
META_PROMPTING_AND_CONVERSATION_WITH_AI,1
LIVES_IN,1
TEACHE,1
PREDICATE,1
PRIORITIZING_INCLUSIVITY_FOR_AGILE_SUCCESS,1
AND,1
APPLIES_TO,1
IS_COMMITMENT,1
IS_OPENNESS,1
IS_SIMPLICITY,1
IS_SELF_ORG,1
IS_RESPECT,1
IS_FOCU,1
ACTS_A,1
FEELS_COMFORTABLE_CONTRIBUT,1
CO_AUTHOR,1
STRUCTURED_APPROACH,1
ADHERES_TO,1
IS_COMPATIBLE_WITH,1
FOSTER_COLLAB,1
CONTINUOUS_IMPROVEMENT,1
THRIVES_ON,1
ENABLE,1
ASSIGNED_TO,1
INTEGRATE_MIRO_SWITCH,1
SHIFTED_MINDSET,1
COLLAB,1
FLEXIBILITY,1
ENHANCE,1
IS_LED_BY,1
HAS_PRODUCT_TEAM,1
PLAN,1
CONTROL,1
DISRUPT,1
ROLE_IN,1
FOCU,1
AUTOMATE,1
IS_CEO,1
ENHANCED_SOFTWARE_QUALITY,1
ALLOCATE,1
IS_TYPE_OF,1
INCREASE,1
IS_DERIVED_FROM,1
HAS_RESP,1
REPORTS_TO,1
HAS_RESP_OVER,1
HAS_POSITION,1
LEAD,1
SUPPORT,1
FACILITAT,1
REMOVE,1
EVALUATE_THEORETICAL_KNOWLEDGE,1
APPLY_AND_EFFECTIVELY,1
DISTINGUISH_GENUINE_SCRUM_MASTERS_FROM_PRETENDER,1
DELIVERS,1
CREATES,1
DEVELOP,1
PERFORM,1
IS_DEV_TEAM,1
DEVELOPS_AND_DELIVER,1
BELONGS_TO,1
SUPERVISE,1
RESPONSIBLE_FOR,1
OCCURS_BEFORE,1
INCREASED_CUSTOMER_SATISFACTION,1
IMPROVED_DEFECT_RESOLUTION,1
LEADS_TO,1
RESULTS_IN,1
HAS_DASHBOARD,1
MONITOR,1
TREND,1
FOR,1
IN,1
ALIGN,1
REDUCE,1
STABILIZE,1
BECOME,1
EVOLVE,1
HAS_ROLE,1
PRODUCES_ARTIFACT,1
INCLUDES_EVENT,1
USING,1
TRANSFORMED_INTO,1
MOVES_FAST,1
HAS_MINDSET,1
IS_DATA_DRIVEN,1
TREATS_BUGS_AS_LEARNING_TOOL,1
ADAPTS_TO,1
PERFECTLY_POSITIONED_FOR_THE_AI_ERA,1
POSITION_AS_LEADER_IN_AI_ERA,1
INTEGRATES_WITH,1
IS_REPLACED_BY,1
DEMAND,1
HAS_NEGATIVE_IMPACT_ON,1
RELATES_TO,1
BRIDG,1
EMPHASIZE,1
