RelationshipType,Count
RELATED_TO,12
PART_OF,9
WORKS_ON,9
HOLDS_POSITION,7
MANAGES,6
INCLUDES,6
DEFINES,5
INVOLVES,5
MEET,5
USES,4
IS_MEMBER_OF,4
IS_RELATED_TO,4
EXTEND,3
DELIVERS,3
RESPONSIBLE_FOR,3
CONSISTS_OF,3
PROVIDE_SOFTWARE_COMPONENT,2
CREATES,2
RELATES_TO,2
LEAD,2
FACILITAT,2
ADOPT,2
IS_CEO,2
PARTICIPATES_IN,2
PLAN,2
ATTENDS,2
INSPECT,2
HAS_ROLE,2
INVOLVED_IN,2
BELONGS_TO,2
ALIGNS_WITH,2
PREDICATE,1
PUBLISHED_IN,1
OFFERED_UNDER,1
LICENSED_BY,1
PROMOTE,1
PRESERVE_FOUNDATIONAL_EMPIRICISM,1
ACCT,1
IMPLEMENTS_SCRUM_PROCESS,1
FACILITATES,1
ASSIGN,1
UNDERSTANDS_AND_ENACT,1
APPLIES_SCRUM_PRINCIPLE,1
COLLABORATE,1
DETERMINE_FUTURE_ADAPTATION,1
RAISE,1
OCCUR,1
IDENTIFIE,1
HAS_STAKEHOLDER,1
REPRESENT,1
CONCLUDE,1
UTILIZE,1
INTERACTS_WITH,1
IS_BOUND_BY,1
IS_LICENSED_UNDER,1
DELIVER_VALUABLE_AND_USABLE_FUNCTIONALITY,1
APPLIED_TO,1
LEAD_TO,1
SCAL,1
LED_BY,1
PROVIDE_A_FOCAL_POINT_OF_INTEGRATION_FOR_THE_NEXU,1
ADDRESS_INTEGRATION_ISSUES_WITHIN_THE_NEXU,1
IS_READY_FOR_SELECTION,1
REFERS_TO,1
HAS_INTEGRATION_ISSUE,1
CAPTUR,1
DETERMIN,1
FOLLOW,1
COMPLEMENT,1
HAS_OCCURRED_AFTER,1
LOCATED_IN,1
ENABLE,1
INVOLVE,1
BIND,1
WEAVE_TOGETHER,1
HAS_COMMON_DEF_OF_DONE,1
IS_INCREMENT,1
ADHERES_TO,1
MAXIMIZE,1
IS_WIDELY_UNDERSTOOD,1
EFFECTIVE_A,1
PRIORITIZES,1
HAS_FINAL_SAY_ON_PRODUCT_BACKLOG_CONTENT,1
CONTRIBUTES_TO,1
HAS_SCRUM_MASTER,1
SCALE,1
HAS_DEVELOPER,1
HAS_REPRESENTATIVE,1
HAS_INTEGRATION_WITH,1
HELP,1
SOLVE,1
REDUCE_COMPLEXITY_IN_COLLAB,1
ENSURE_ACCT,1
REPLAC,1
IMPLEMENT_THE_SPRINT_BACKLOG,1
ENSURE_PRODUCED_SPRINT,1
COLLABORATES_WITH_DEVELOPER,1
HAS_TITLE,1
CONTRIBUT,1
FROM_WITHIN_THE_NEXUS_TO_ACHIEVE_RESOLUTION,1
HIGHLIGHT_DEPENDENCIE,1
CROSS_TEAM_ISSUE,1
COACHE,1
CONSULT,1
MAXIMIZING_VALUE_OF_PRODUCT,1
ACQUIRE_PRACTICES_TOOL,1
IMPLEMENT_PRACTICES_TOOL,1
LEARN_PRACTICES_TOOL,1
BASED_ON_CORRESPONDING_SCRUM_EVENT,1
HAS_VARIED_DURATION,1
HAS_VARIED_FREQUENCY,1
SERVES_MULTIPLE_PURPOSE,1
COMMUNICATE,1
COORDINATE_WITHIN_SPRINT,1
IS_INSPECTING_PROGRESS,1
