RelationshipType,Count
INVOLVES,14
HAS_ROLE,8
PART_OF,8
RELATED_TO,7
USES,6
WORKS_ON,5
INCLUDES,5
FACILITATES,5
WILL_BE_FINISHED_BY,4
BUILDS,4
MANAGES,4
RESPONSIBLE_FOR,4
IS_RESPONSIBLE_FOR,4
ASSIGN,3
FOLLOW,3
ASK_ABOUT_PROGRESS_AND_EXPECTATION,2
LEADS_TO,2
WILL_BE_DONE_BY,2
APPLIED_TO,2
COMBINE,2
DEVELOPED_BY,2
REPORTS_TO,2
PRIORITIZES,2
COMMUNICATES_WITH,2
INVESTS_IN,2
PRACTICED_BY,2
CORRELATED_WITH,2
HAS_PRINCIPLE,2
CORRELATION_BETWEEN_STORY_VALUE_AND_SIZE,2
CORRELATION_SIZE_PROCESS,2
PARTICIPATES_IN,2
HAS_OUTPUT,1
INFLUENCE,1
TEAM_SYNCHRONIZATION,1
CONTAINS,1
FORECAST,1
IMPROVE,1
IS_RELATED_TO,1
INFLUENCED_BY,1
HAS_SCRUM_MASTER,1
SUIT,1
HAS_DEV_TEAM,1
INVOLVES_STAKEHOLDER,1
SHOW,1
ARE_NOW_PART_OF,1
PROVIDE,1
OCCURS_AFTER,1
PREDICATE,1
RELATES_TO,1
LEAD,1
KNOWS_PROBLEM_TO_SOLVE,1
HAS_PRODUCT_VISION,1
PLAN_SPRINT,1
FIGURES_OUT_WHICH_STORIES_TO_DELIVER_NEXT,1
COMMUNICATES_UNDERSTAND_PRIORITIE,1
COORDINATES_COMM,1
ASSIGNS_RESPONSIBILITIE,1
ROLES_AND_RESPONSIBILITIE,1
CREATION,1
HAS_REQUIREMENT,1
DEV,1
REVIEW_AND_REFLECT_ON_PROGRESS,1
IS_CONSTRAINED_BY,1
MAINTAIN_SUSTAINABLE_PACE,1
HAS_CAPACITY,1
PLANS_RELEASE,1
REMOVES_IMPEDIMENT,1
IMPROV,1
ENHANC,1
COLLABORATES_WITH,1
IMPLEMENT,1
CONDUCT_DAILY_SCRUM,1
REMOVE,1
INTEGRATION,1
RELEASE,1
DECIDES_ON_FEATURES_BASED_ON_PAST_PERFORMANCE,1
NEVER_BREAK_THE_LIMIT_OF_FIVE,1
LIMIT_WIP,1
KEEP_BUSY_WITHOUT_CAUSING_AN_OVERLOAD,1
PRACTICE,1
ANALYZING_AND_CATEGORIE,1
RISK,1
EMPHASIZE,1
OVERLOAD,1
OCCURS_BEFORE,1
EVALUATE,1
OVERCOMMIT,1
INCREA,1
AFFECT,1
EMPLOY,1
SET,1
ENSURES_CUSTOMER_NEEDS_ARE_MET,1
IS_CEO,1
ASSOCIATED_WITH,1
STRUCTURED_CAPTURING_INFORMATION,1
HAS_SIZE,1
HAS_VALUE,1
SUPPORT,1
DEFINES,1
