Source,Relationship,Target,Count
Artifact,RELATED_TO,Artifact,3
Artifact,CONTAINS,Artifact,3
Artifact,INCLUDES,Artifact,2
Artifact,IS_RELATED_TO,Artifact,2
Artifact,PRIORITIZES,Artifact,1
Artifact,MEET,Artifact,1
Artifact,ALIGNS_WITH,Artifact,1
Artifact,HAS_RELATED_PRODUCT_BACKLOG_ITEM,Artifact,1
Artifact,REFINE,Artifact,1
Artifact,DEFINES,Artifact,1
Artifact,SELECT,Artifact,1
Artifact,MEETS_THE_DEF_OF_DONE,Entity,1
Artifact,MEETS_QUALITY_MEASURES_REQUIRED_FOR_THE_PRODUCT,Entity,1
Artifact,IS_RELATED_TO,Entity,1
Artifact,CONTAINS,Entity,1
Artifact,ADAPT_THE_SPRINT_BACKLOG_AS_NECESSARY,Entity,1
Artifact,PART_OF,Entity,1
Artifact,IS_DIRECTLY_RELATED_TO,Entity,1
Artifact,TOWARD,Entity,1
Artifact,DEFINES,Entity,1
Artifact,UTILIZ,Framework,1
Document,FOLLOW,Framework,1
Document,DESCRIBES_IN_2010,Framework,1
Document,DOCUMENT,Framework,1
Entity,PRESENT_RESULTS_TO_KEY_STAKEHOLDER,Artifact,1
Entity,IS_DIRECTLY_RELATED_TO,Artifact,1
Entity,TRACKS_OVER_TIME,Entity,2
Entity,ENCOUNTER,Entity,1
Entity,SOLVE,Entity,1
Entity,PLANS_BY,Entity,1
Entity,PLANNED_FOR,Entity,1
Entity,CONTRIBUTES_TO,Entity,1
Entity,REPORTS_TO,Entity,1
Entity,FULFILL_BEFORE_TAKING_ON_NEXT,Entity,1
Entity,HELD_AT,Entity,1
Entity,PREDICATE,Entity,1
Entity,APPLIED_TO,Entity,1
Entity,PROGRESS_TOWARD_PRODUCT_GOAL,Entity,1
Entity,DEVISED_FROM,Entity,1
Entity,FOUND_IN,Entity,1
Entity,IS_RESPONSIBLE_FOR,Event,2
Entity,WORKS_ON,Event,1
Entity,ARE_DETERMINED_BY_THE_SPRINT_REVIEW,Event,1
Entity,ADOPT,Framework,1
Entity,IMPLEMENT,Framework,1
Entity,AFFECT,Framework,1
Entity,INVOLVES,Framework,1
Entity,CREATES,Role,1
Entity,TELL,Role,1
Event,PRECEDED_BY,Artifact,1
Event,PLANS_WITH_PRODUCT_BACKLOG,Artifact,1
Event,MUST_BE_FINALIZED_PRIOR_TO_THE_END_OF_SPRINT_PLANN,Artifact,1
Event,REVIEWS_INCREMENT,Artifact,1
Event,HAS_STEP,Entity,3
Event,INCLUDES,Entity,1
Event,WORKS_ON,Entity,1
Event,INITIATE,Entity,1
Event,TIMEBOX,Entity,1
Event,LIMIT,Entity,1
Event,MAXIMUM,Entity,1
Event,INSPECT_SPRINT_ADAPTATION,Entity,1
Event,IMPROVE_EFF,Entity,1
Event,IS_RELATED_TO,Entity,1
Event,HAS_PRECEDENCE,Event,3
Event,INVOLVES,Event,1
Event,INITIATE,Event,1
Event,OCCURS_AFTER,Event,1
Event,HAS_DURATION,Event,1
Event,PLAN_WAYS_TO_INCREASE_QUALITY_AND_EFF,Event,1
Event,HAS_STEP,Event,1
Event,PREC,Event,1
Event,WORKS_ON,Event,1
Event,PART_OF,Framework,1
Event,IS_PART_OF_THE_AGILE_DEV_PROCESS,Framework,1
Event,EMPLOY,Framework,1
Event,LAY_OUT,Role,1
Event,RETROACTS_WITH_DEV_TEAM,Team,1
Event,PARTICIPATES_IN,Team,1
Framework,IS_BASED_ON,Entity,2
Framework,HOLDS_ESSENTIALLY,Entity,1
Framework,HAS_ITS_ROOTS_IN,Entity,1
Framework,REALIZED_WITH,Entity,1
