Source,Relationship,Target,Count
Artifact,ACHIEVE,Artifact,2
Artifact,CONTAINS,Artifact,2
Artifact,INCLUDES,Artifact,1
Artifact,PROGRESS_TOWARD,Artifact,1
Artifact,UPDATE,Artifact,1
Artifact,TOWARD,Entity,1
Artifact,ALIGNED_WITH,Entity,1
Artifact,INCLUDES,Entity,1
Artifact,ADAPTED_FROM,Framework,1
Document,DEFINES,Entity,1
Entity,IS_RESPONSIBLE_FOR,Artifact,1
Entity,RELATES_TO,Artifact,1
Entity,RELATED_TO,Artifact,1
Entity,SEEK,Artifact,1
Entity,USES,Artifact,1
Entity,DEFINES,Artifact,1
Entity,RELATED_TO,Entity,11
Entity,RELATES_TO,Entity,7
Entity,IS_RELATED_TO,Entity,5
Entity,INVOLVES,Entity,3
Entity,INCLUDES,Entity,3
Entity,USES,Entity,3
Entity,INVOLVED_IN,Entity,2
Entity,RESULTS_IN,Entity,2
Entity,CONTRIBUTES_TO,Entity,2
Entity,ASSUME,Entity,2
Entity,FOLLOW,Entity,1
Entity,THROUGH,Entity,1
Entity,REFUTE_HYPOTHESI,Entity,1
Entity,SUPPORT_HYPOTHESI,Entity,1
Entity,TEST_VALUE_OF_FEATURE,Entity,1
Entity,DESIGN_EXPERIMENT,Entity,1
Entity,PREDICATE,Entity,1
Entity,HELP,Entity,1
Entity,UNDER_CONDITIONS_OF,Entity,1
Entity,TAKE_INTO_ACCOUNT_THE_BEST_AVAILABLE_EVIDENCE,Entity,1
Entity,ACHIEVE_BUSINESS_RESULT,Entity,1
Entity,FORMS_HYPOTHESI,Entity,1
Entity,RUNS_EXPERIMENT,Entity,1
Entity,PART_OF,Entity,1
Entity,BASED_ON,Entity,1
Entity,IS_CRUCIAL_FOR_DELIVERING_VALUE,Entity,1
Entity,HAS_RESP,Entity,1
Entity,EXPERIENCES_CURRENT_EXPERIENCE,Entity,1
Entity,HAS_DESIRED_OUTCOME,Entity,1
Entity,HAS_CURRENT_VALUE,Entity,1
Entity,EFF,Entity,1
Entity,IS_RELATED_TO_INNOVATION,Entity,1
Entity,IS_IMPORTANT,Entity,1
Entity,IS_DEPLOYED_TO,Entity,1
Entity,REDUCES_FEATURE,Entity,1
Entity,IMPROVES_VALUE,Entity,1
Entity,MEASURE_HAPPINESS_PRODUCT,Entity,1
Entity,LEARNING_FROM_EXPERIMENT,Entity,1
Entity,HAS_MEAN_TIME_TO_REPAIR,Entity,1
Entity,HAS_CUSTOMER_CYCLE_TIME,Entity,1
Entity,MAINTAINS_AND_ENHANCE,Entity,1
Entity,INCREASE_CV_BY_DECREASING_UV,Entity,1
Entity,IS_CURRENT_VALUE,Entity,1
Entity,IS_UNREALIZED_VALUE,Entity,1
Entity,HAS_HIGH_CV_AND_LOW_UV,Entity,1
Entity,HAS_LOW_CV_BUT_HIGH_UV,Entity,1
Entity,HELPS_WHICH_CHANGE,Entity,1
Entity,TESTING_NEW_IDEAS_WITH_CUSTOMER,Entity,1
Entity,FOCUS_ON,Entity,1
Entity,HAS_RELEASE_FREQUENCY,Entity,1
Entity,MANAGES,Entity,1
Entity,IDENTIFIES_IMPEDIMENT,Entity,1
Entity,RESPONDS_TO_FEEDBACK,Entity,1
Entity,DELIVERS,Entity,1
Entity,ACTS_AS_EXPERT_IN,Entity,1
Entity,DESCRIBE,Entity,1
Entity,IMPROV,Framework,1
Entity,T2M,Framework,1
Entity,HELPS_AN_ORG_BECOME_MORE_EFFECTIVE,Organization,1
Entity,COMBINES_HYPOTHESES_ADAPTATION,Organization,1
Entity,HELP,Organization,1
Entity,ADDS_MAKING_RESULT,Organization,1
Entity,WORKS_ON,Organization,1
Entity,ENHANCE_ORGAL_CAPABILITIE,Organization,1
Entity,ALIGNED_WITH,Organization,1
Entity,HAPPINESS_OF,Organization,1
Entity,IS_HAPPY_WITH,Organization,1
Entity,REQUIRE,Organization,1
Entity,HAS_SATISFI,Organization,1
Entity,REALIZES_POTENTIAL,Organization,1
Entity,HAPPINESS_THROUGH_CUSTOMER_VALUE,Role,1
Entity,UNDERSTAND,Role,1
Event,RECEIVES_FEEDBACK,Entity,1
Event,RELATED_TO,Event,3
Event,FOLLOW,Event,1
Framework,INVOLVES,Entity,2
Framework,ANALYZE,Entity,1
Framework,PART_OF,Framework,1
Framework,INVOLVES,Framework,1
Framework,REQUIRE,Framework,1
Organization,DELIVERS,Entity,2
Organization,USES,Entity,1
Organization,INCREASE,Entity,1
Organization,MEASURE,Entity,1
Organization,IDENTIFY,Entity,1
Organization,MEETS_NE,Entity,1
Organization,IMPROVE_CUSTOMER_OUTCOME,Entity,1
Organization,UNDER_INVESTOR_AND_STAKEHOLDER_HAPPINESS,Entity,1
Organization,UNDERSTAND,Entity,1
Organization,RETAIN,Entity,1
Organization,HAS_ENGAGED_EMPLOYEE,Entity,1
Organization,MAXIMIZES_VALUE,Entity,1
Organization,PREVENTS_FROM_DELIVERING_NEW_VALUE,Entity,1
Organization,HAS_INNOVATION_CAPACITY,Entity,1
Organization,WORKS_ON,Entity,1
Organization,SUSTAIN_INNOVATION_OVER_TIME,Entity,1
Organization,RESPOND_TO_CHANGE,Entity,1
Organization,MAKE_PROGRESS_TOWARD_LONG_TERM_GOAL,Entity,1
Organization,TAKES_TIME_TO_DELIVER_VALUE,Entity,1
Organization,MAXIMIZE_NEW_SOLUTION,Entity,1
Organization,DELIVER_NEW_CAPABILITIE,Entity,1
Organization,REMOV,Entity,1
Person,IS_MEMBER_OF,Entity,2
Person,IS_FOUNDER,Entity,2
Person,IS_MEMBER,Entity,2
Person,USES,Person,1
Role,DEFINES,Artifact,1
Role,OWN,Artifact,1
Role,PRIORITIZING_FEATURE,Artifact,1
Role,MAINTAIN,Artifact,1
Role,PART_OF,Entity,3
Role,FACILITATES,Entity,2
Role,ENSURES_CUSTOMER_NEEDS_ARE_MET,Entity,1
Role,REPRESENT,Entity,1
Role,DEFINING_PRODUCT_BACKLOG,Entity,1
Role,REMOVE_IMPEDIMENT,Entity,1
Role,REMOVING_IMPEDIMENT,Entity,1
Role,ROLES_AND_RESPONSIBILITIE,Entity,1
Role,WORKS_ON,Entity,1
Role,TRACKS_TIME_TO_REMOVE,Entity,1
Role,ITERATE,Entity,1
Role,LEAD,Event,1
Role,DEFINES,Framework,1
Role,WORKS_ON,Framework,1
Role,SATISFACTION_OF,Organization,1
Role,IS_SATISFIED_WITH,Organization,1
Role,HAS_SCRUM_MASTER,Role,1
Role,ASSIGN,Role,1
Role,LEADS_DEV_TEAM,Team,1
Role,INCLUDES,Team,1
Role,SUPPORTS_DEV_TEAM,Team,1
Role,LED_BY,Team,1
Team,WORKS_ON,Artifact,2
Team,PRODUCE,Artifact,1
Team,WORKS_ON,Entity,1
Team,ENCOUNTER,Entity,1
