Source,Relationship,Target,Count
Artifact,INCLUDES,Artifact,2
Artifact,IS_DERIVED_FROM,Artifact,1
Document,EVALUAT,Entity,1
Document,APPLY,Entity,1
Document,APPLY,Framework,1
Document,RELATED_TO,Framework,1
Document,BASED_ON,Framework,1
Entity,RELATED_TO,Entity,5
Entity,PART_OF,Entity,4
Entity,INVOLVES,Entity,3
Entity,HOST,Entity,3
Entity,USES,Entity,3
Entity,FACILITATES,Entity,2
Entity,TRAIN,Entity,2
Entity,IMPROVE,Entity,2
Entity,TRIGGERS_LEGITIMATE_ANXIETY_FOR,Entity,2
Entity,MANAGES,Entity,1
Entity,SUPERVISE,Entity,1
Entity,INCREASED_CUSTOMER_SATISFACTION,Entity,1
Entity,IMPROVED_DEFECT_RESOLUTION,Entity,1
Entity,LEADS_TO,Entity,1
Entity,RESULTS_IN,Entity,1
Entity,HAS_DASHBOARD,Entity,1
Entity,TREND,Entity,1
Entity,FOR,Entity,1
Entity,REDUCE,Entity,1
Entity,STABILIZE,Entity,1
Entity,INVOLVED_IN,Entity,1
Entity,HAS_ROLE,Entity,1
Entity,PRODUCES_ARTIFACT,Entity,1
Entity,INCLUDES_EVENT,Entity,1
Entity,USING,Entity,1
Entity,MOVES_FAST,Entity,1
Entity,IS_DATA_DRIVEN,Entity,1
Entity,TREATS_BUGS_AS_LEARNING_TOOL,Entity,1
Entity,ADAPTS_TO,Entity,1
Entity,IS_RELATED_TO,Entity,1
Entity,WORKS_ON,Entity,1
Entity,DEFINES,Entity,1
Entity,BY_DESIGN,Entity,1
Entity,IS_BY_DESIGN,Entity,1
Entity,META_PROMPTING_AND_CONVERSATION_WITH_AI,Entity,1
Entity,LIVES_IN,Entity,1
Entity,TEACHE,Entity,1
Entity,PREDICATE,Entity,1
Entity,MAKE_LEVERAGING_WAY,Entity,1
Entity,THRIVES_ON,Entity,1
Entity,INTEGRATE_MIRO_SWITCH,Entity,1
Entity,ENHANCE,Entity,1
Entity,HOLDS_POSITION,Entity,1
Entity,PLAN,Entity,1
Entity,CONTROL,Entity,1
Entity,WITH,Entity,1
Entity,FOCU,Entity,1
Entity,AUTOMATE,Entity,1
Entity,INCLUDES,Entity,1
Entity,INCREASE,Entity,1
Entity,FEELS_COMFORTABLE_CONTRIBUT,Event,1
Entity,USES,Event,1
Entity,IMPROVE,Event,1
Entity,MONITOR,Event,1
Entity,IN,Event,1
Entity,INVOLVES,Framework,5
Entity,RELATED_TO,Framework,2
Entity,ENHANCE_DISRUPT,Framework,1
Entity,CO_AUTHOR,Framework,1
Entity,DISRUPT,Framework,1
Entity,ROLE_IN,Framework,1
Entity,IS_TYPE_OF,Framework,1
Entity,HAS_MINDSET,Framework,1
Entity,IS_REPLACED_BY,Framework,1
Entity,RELATES_TO,Framework,1
Entity,BRIDG,Framework,1
Entity,BELONGS_TO,Organization,1
Entity,MANAGES,Organization,1
Entity,COLLABORATES_WITH,Organization,1
Entity,WORKS_ON,Organization,1
Entity,REQUIRE,Role,1
Entity,ENABLE,Role,1
Entity,COLLAB,Role,1
Entity,COLLABORATES_WITH,Role,1
Entity,USES,Value,1
Event,ALIGN,Artifact,1
Event,IMPROVE,Entity,1
Event,RELATED_TO,Event,3
Event,FOLLOW,Event,3
Event,OCCURS_BEFORE,Event,1
Event,BASED_ON,Event,1
Event,INVOLVES,Framework,1
Framework,WITH,Artifact,1
Framework,INVOLVES,Artifact,1
Framework,DEFINES,Artifact,1
Framework,INVOLVES,Entity,2
Framework,OVER,Entity,2
Framework,PRIORITIZING_INCLUSIVITY_FOR_AGILE_SUCCESS,Entity,1
Framework,INVOLVED_IN,Entity,1
Framework,USES,Entity,1
Framework,AND,Entity,1
Framework,APPLIES_TO,Entity,1
Framework,IS_SIMPLICITY,Entity,1
Framework,ACTS_A,Entity,1
Framework,WORKS_ON,Entity,1
Framework,DEFINES,Entity,1
Framework,MAKE_LEVERAGING_WAY,Entity,1
