Source,Relationship,Target,Count
Artifact,PART_OF,Artifact,2
Artifact,WORKS_ON,Artifact,2
Artifact,IS_RELATED_TO,Artifact,1
Artifact,ALIGNS_WITH,Artifact,1
Artifact,HAS_COMMON_DEF_OF_DONE,Artifact,1
Artifact,IS_INCREMENT,Artifact,1
Artifact,USES,Document,1
Artifact,INCLUDES,Entity,2
Artifact,INSPECT,Entity,1
Artifact,IS_INSPECTING_PROGRESS,Entity,1
Artifact,IS_RELATED_TO,Event,1
Artifact,PART_OF,Framework,1
Artifact,ALIGNS_WITH,Role,1
Artifact,INVOLVED_IN,Team,1
Artifact,RELATED_TO,Value,1
Document,PROVIDE_SOFTWARE_COMPONENT,Entity,1
Document,IS_BOUND_BY,Entity,1
Document,DEFINES,Framework,1
Entity,MEET,Artifact,2
Entity,INVOLVES,Artifact,1
Entity,IS_WIDELY_UNDERSTOOD,Artifact,1
Entity,DELIVERS,Artifact,1
Entity,MANAGES,Artifact,1
Entity,RELATED_TO,Document,1
Entity,PUBLISHED_IN,Document,1
Entity,CREATES,Document,1
Entity,LICENSED_BY,Document,1
Entity,HOLDS_POSITION,Entity,5
Entity,RELATED_TO,Entity,2
Entity,PREDICATE,Entity,1
Entity,OFFERED_UNDER,Entity,1
Entity,RAISE,Entity,1
Entity,OCCUR,Entity,1
Entity,WORKS_ON,Entity,1
Entity,INCLUDES,Entity,1
Entity,REPRESENT,Entity,1
Entity,UTILIZE,Entity,1
Entity,IS_LICENSED_UNDER,Entity,1
Entity,LEAD_TO,Entity,1
Entity,PROVIDE_SOFTWARE_COMPONENT,Entity,1
Entity,HAS_INTEGRATION_ISSUE,Entity,1
Entity,IS_CEO,Entity,1
Entity,CAPTUR,Entity,1
Entity,DETERMIN,Entity,1
Entity,LOCATED_IN,Entity,1
Entity,EFFECTIVE_A,Entity,1
Entity,ENSURE_ACCT,Entity,1
Entity,IS_RELATED_TO,Entity,1
Entity,HAS_ROLE,Entity,1
Entity,FROM_WITHIN_THE_NEXUS_TO_ACHIEVE_RESOLUTION,Entity,1
Entity,HIGHLIGHT_DEPENDENCIE,Entity,1
Entity,COACHE,Entity,1
Entity,CONSULT,Entity,1
Entity,MAXIMIZING_VALUE_OF_PRODUCT,Entity,1
Entity,EXTEND,Entity,1
Entity,BASED_ON_CORRESPONDING_SCRUM_EVENT,Entity,1
Entity,CONCLUDE,Event,1
Entity,APPLIED_TO,Framework,1
Entity,INVOLVES,Framework,1
Entity,ADOPT,Framework,1
Entity,REPLAC,Framework,1
Entity,CROSS_TEAM_ISSUE,Role,1
Entity,ACQUIRE_PRACTICES_TOOL,Role,1
Entity,IMPLEMENT_PRACTICES_TOOL,Role,1
Entity,LEARN_PRACTICES_TOOL,Role,1
Entity,INTERACTS_WITH,Role,1
Entity,HOLDS_POSITION,Role,1
Entity,MAXIMIZE,Value,1
Event,RELATES_TO,Artifact,1
Event,MEET,Artifact,1
Event,IS_READY_FOR_SELECTION,Artifact,1
Event,REFERS_TO,Artifact,1
Event,IS_RELATED_TO,Artifact,1
Event,HAS_OCCURRED_AFTER,Artifact,1
Event,RELATED_TO,Entity,1
Event,PARTICIPATES_IN,Entity,1
Event,USES,Entity,1
Event,COMPLEMENT,Entity,1
Event,RELATED_TO,Event,4
Event,PART_OF,Event,1
Event,FOLLOW,Framework,1
Event,RELATED_TO,Role,1
Event,PART_OF,Role,1
Event,INCLUDES,Role,1
Event,RESPONSIBLE_FOR,Role,1
Framework,MEET,Artifact,1
Framework,ENABLE,Artifact,1
Framework,PART_OF,Entity,1
Framework,EXTEND,Entity,1
Framework,PROMOTE,Entity,1
Framework,RELATES_TO,Entity,1
Framework,PRESERVE_FOUNDATIONAL_EMPIRICISM,Entity,1
Framework,DELIVERS,Entity,1
Framework,INVOLVES,Entity,1
Framework,SCAL,Entity,1
Framework,PROVIDE_A_FOCAL_POINT_OF_INTEGRATION_FOR_THE_NEXU,Entity,1
Framework,ADDRESS_INTEGRATION_ISSUES_WITHIN_THE_NEXU,Entity,1
Framework,DEFINES,Entity,1
Framework,BIND,Entity,1
Framework,WEAVE_TOGETHER,Entity,1
Framework,INVOLVES,Framework,1
Framework,USES,Framework,1
Framework,EXTEND,Framework,1
Framework,MANAGES,Role,2
Framework,LED_BY,Role,1
Framework,INVOLVE,Role,1
Framework,HELP,Role,1
Framework,PART_OF,Team,1
Organization,ADOPT,Entity,1
Organization,DETERMINE_FUTURE_ADAPTATION,Entity,1
Person,HOLDS_POSITION,Entity,1
Person,IS_CEO,Entity,1
Role,FACILITAT,Artifact,2
Role,MANAGES,Artifact,2
Role,ACCT,Artifact,1
Role,DEFINES,Artifact,1
Role,WORKS_ON,Artifact,1
Role,ADHERES_TO,Artifact,1
Role,RESPONSIBLE_FOR,Artifact,1
Role,PRIORITIZES,Artifact,1
Role,HAS_FINAL_SAY_ON_PRODUCT_BACKLOG_CONTENT,Artifact,1
Role,IMPLEMENT_THE_SPRINT_BACKLOG,Artifact,1
Role,ENSURE_PRODUCED_SPRINT,Artifact,1
Role,IS_MEMBER_OF,Entity,2
Role,SOLVE,Entity,1
Role,REDUCE_COMPLEXITY_IN_COLLAB,Entity,1
Role,MANAGES,Entity,1
Role,HAS_ROLE,Entity,1
Role,INVOLVED_IN,Entity,1
Role,PARTICIPATES_IN,Entity,1
Role,HAS_TITLE,Entity,1
Role,INVOLVES,Entity,1
Role,SERVES_MULTIPLE_PURPOSE,Entity,1
Role,COMMUNICATE,Entity,1
Role,FACILITATES,Entity,1
Role,CREATES,Entity,1
Role,IDENTIFIE,Entity,1
Role,LEAD,Event,1
Role,RELATED_TO,Event,1
Role,PLAN,Event,1
Role,IMPLEMENTS_SCRUM_PROCESS,Framework,1
Role,UNDERSTANDS_AND_ENACT,Framework,1
Role,PART_OF,Framework,1
Role,USES,Framework,1
Role,DELIVER_VALUABLE_AND_USABLE_FUNCTIONALITY,Organization,1
Role,WORKS_ON,Role,3
Role,CONSISTS_OF,Role,3
Role,BELONGS_TO,Role,2
Role,IS_MEMBER_OF,Role,2
Role,ASSIGN,Role,1
Role,HAS_STAKEHOLDER,Role,1
Role,RESPONSIBLE_FOR,Role,1
Role,INCLUDES,Role,1
Role,COLLABORATES_WITH_DEVELOPER,Role,1
Role,CONTRIBUT,Role,1
Role,ATTENDS,Role,1
Role,HAS_VARIED_DURATION,Role,1
Role,HAS_VARIED_FREQUENCY,Role,1
Role,COORDINATE_WITHIN_SPRINT,Role,1
Role,WORKS_ON,Team,1
Role,LEAD,Team,1
Role,PART_OF,Team,1
Role,MEET,Team,1
Team,RELATED_TO,Artifact,1
Team,CONTRIBUTES_TO,Artifact,1
Team,DEFINES,Artifact,1
Team,INSPECT,Artifact,1
Team,DELIVERS,Entity,1
Team,DEFINES,Entity,1
Team,ATTENDS,Entity,1
Team,SCALE,Entity,1
Team,HAS_REPRESENTATIVE,Entity,1
Team,APPLIES_SCRUM_PRINCIPLE,Framework,1
Team,WORKS_ON,Organization,1
Team,COLLABORATE,Role,1
Team,HAS_SCRUM_MASTER,Role,1
Team,INCLUDES,Role,1
Team,PLAN,Role,1
Team,HAS_DEVELOPER,Role,1
Team,HAS_INTEGRATION_WITH,Role,1
