Source,Relationship,Target,Count
Artifact,INCLUDES,Artifact,3
Artifact,BUILDS,Entity,1
Artifact,INCLUDES,Entity,1
Artifact,RELATED_TO,Entity,1
Artifact,PRIORITIZES,Role,1
Entity,DEFINES,Artifact,1
Entity,CONTAINS,Artifact,1
Entity,WILL_BE_FINISHED_BY,Entity,4
Entity,RELATED_TO,Entity,2
Entity,WILL_BE_DONE_BY,Entity,2
Entity,ASSIGN,Entity,2
Entity,INVOLVES,Entity,2
Entity,DEVELOPED_BY,Entity,2
Entity,CORRELATION_BETWEEN_STORY_VALUE_AND_SIZE,Entity,2
Entity,CORRELATION_SIZE_PROCESS,Entity,2
Entity,IS_RESPONSIBLE_FOR,Entity,1
Entity,ASSOCIATED_WITH,Entity,1
Entity,STRUCTURED_CAPTURING_INFORMATION,Entity,1
Entity,HAS_SIZE,Entity,1
Entity,HAS_VALUE,Entity,1
Entity,HAS_OUTPUT,Entity,1
Entity,INFLUENCE,Entity,1
Entity,LEADS_TO,Entity,1
Entity,FORECAST,Entity,1
Entity,IMPROVE,Entity,1
Entity,IS_RELATED_TO,Entity,1
Entity,APPLIED_TO,Entity,1
Entity,COMBINE,Entity,1
Entity,BUILDS,Entity,1
Entity,SHOW,Entity,1
Entity,ARE_NOW_PART_OF,Entity,1
Entity,PROVIDE,Entity,1
Entity,PREDICATE,Entity,1
Entity,USES,Entity,1
Entity,CREATION,Entity,1
Entity,HAS_REQUIREMENT,Entity,1
Entity,IS_CONSTRAINED_BY,Entity,1
Entity,INTEGRATION,Entity,1
Entity,RELEASE,Entity,1
Entity,PART_OF,Entity,1
Entity,RISK,Entity,1
Entity,INCREA,Entity,1
Entity,AFFECT,Entity,1
Entity,EMPLOY,Entity,1
Entity,MANAGES,Entity,1
Entity,SET,Entity,1
Entity,PART_OF,Event,4
Entity,FACILITATES,Event,1
Entity,INVOLVES,Event,1
Entity,OCCURS_AFTER,Event,1
Entity,RELATED_TO,Event,1
Entity,COMBINE,Framework,1
Entity,BUILDS,Framework,1
Entity,INVOLVES,Framework,1
Entity,SUIT,Organization,1
Entity,IS_CEO,Organization,1
Entity,ENSURES_CUSTOMER_NEEDS_ARE_MET,Role,1
Entity,SUPPORT,Role,1
Entity,HAS_SCRUM_MASTER,Role,1
Entity,INCLUDES,Role,1
Entity,INVOLVES_STAKEHOLDER,Role,1
Entity,PRACTICED_BY,Role,1
Entity,RESPONSIBLE_FOR,Role,1
Entity,WORKS_ON,Team,1
Entity,HAS_DEV_TEAM,Team,1
Event,EVALUATE,Entity,1
Event,INVOLVES,Entity,1
Event,FOLLOW,Event,2
Event,OCCURS_BEFORE,Event,1
Event,PARTICIPATES_IN,Role,1
Framework,RELATED_TO,Entity,3
Framework,CORRELATED_WITH,Entity,2
Framework,HAS_PRINCIPLE,Entity,2
Framework,APPLIED_TO,Entity,1
Framework,INFLUENCED_BY,Entity,1
Framework,INVOLVES,Entity,1
Framework,ANALYZING_AND_CATEGORIE,Entity,1
Framework,INVOLVES,Event,4
Framework,USES,Framework,1
Framework,INVOLVES,Framework,1
Framework,EMPHASIZE,Framework,1
Framework,PRACTICED_BY,Role,1
Role,IS_RESPONSIBLE_FOR,Artifact,2
Role,RESPONSIBLE_FOR,Artifact,1
Role,WORKS_ON,Artifact,1
Role,HAS_ROLE,Entity,5
Role,MANAGES,Entity,2
Role,INVOLVES,Entity,2
Role,FACILITATES,Entity,2
Role,USES,Entity,2
Role,INVESTS_IN,Entity,2
Role,RESPONSIBLE_FOR,Entity,1
Role,KNOWS_PROBLEM_TO_SOLVE,Entity,1
Role,BUILDS,Entity,1
Role,HAS_PRODUCT_VISION,Entity,1
Role,FIGURES_OUT_WHICH_STORIES_TO_DELIVER_NEXT,Entity,1
Role,COORDINATES_COMM,Entity,1
Role,ROLES_AND_RESPONSIBILITIE,Entity,1
Role,DEV,Entity,1
Role,IMPLEMENT,Entity,1
Role,COMMUNICATES_WITH,Entity,1
Role,REMOVE,Entity,1
Role,DECIDES_ON_FEATURES_BASED_ON_PAST_PERFORMANCE,Entity,1
Role,NEVER_BREAK_THE_LIMIT_OF_FIVE,Entity,1
Role,LIMIT_WIP,Entity,1
Role,KEEP_BUSY_WITHOUT_CAUSING_AN_OVERLOAD,Entity,1
Role,OVERLOAD,Entity,1
Role,PLAN_SPRINT,Event,1
Role,REVIEW_AND_REFLECT_ON_PROGRESS,Event,1
Role,PLANS_RELEASE,Event,1
Role,WORKS_ON,Event,1
Role,CONDUCT_DAILY_SCRUM,Event,1
Role,PARTICIPATES_IN,Event,1
Role,PART_OF,Framework,1
Role,RELATES_TO,Framework,1
Role,PRACTICE,Framework,1
Role,MAINTAIN_SUSTAINABLE_PACE,Organization,1
Role,ASK_ABOUT_PROGRESS_AND_EXPECTATION,Role,2
Role,TEAM_SYNCHRONIZATION,Role,1
Role,MANAGES,Role,1
Role,INVOLVES,Role,1
Role,HAS_ROLE,Role,1
Role,REPORTS_TO,Role,1
Role,PRIORITIZES,Role,1
Role,COMMUNICATES_UNDERSTAND_PRIORITIE,Role,1
Role,ASSIGNS_RESPONSIBILITIE,Role,1
Role,COMMUNICATES_WITH,Role,1
Role,HAS_CAPACITY,Role,1
Role,IS_RESPONSIBLE_FOR,Role,1
Role,COLLABORATES_WITH,Role,1
Role,ASSIGN,Role,1
Role,PART_OF,Team,2
Role,LEAD,Team,1
Role,FACILITATES,Team,1
Role,OVERCOMMIT,Team,1
Team,WORKS_ON,Entity,2
Team,HAS_ROLE,Entity,1
Team,USES,Entity,1
Team,ENHANC,Entity,1
Team,LEADS_TO,Entity,1
Team,FOLLOW,Framework,1
Team,HAS_ROLE,Role,1
Team,RESPONSIBLE_FOR,Role,1
Team,REPORTS_TO,Role,1
Team,FACILITATES,Role,1
Team,REMOVES_IMPEDIMENT,Role,1
Team,IMPROV,Role,1
Team,USES,Role,1
